frame.number	frame.time_relative	bthci_evt.code	bthci_evt.le_meta_subevent	bthci_evt.connection_handle	bthci_evt.bd_addr	bthci_evt.status	_ws.col.info
68569	35183.555000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68623	35189.568000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68639	35204.156000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68641	35204.160000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
68663	35204.180000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68669	35204.364000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68671	35204.368000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
68693	35204.387000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68699	35205.444000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68720	35205.892000000	0x3e	0x0c	0x0401		0x00	Rcvd LE Meta (LE PHY Update Complete)
68723	35206.286000000	0x3e	0x07	0x0401			Rcvd LE Meta (LE Data Length Change)
68727	35207.396000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
68747	35207.404000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68753	35207.604000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68777	35208.262000000	0x3e	0x0c	0x0401		0x00	Rcvd LE Meta (LE PHY Update Complete)
68781	35208.716000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
68801	35208.727000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68807	35208.985000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68809	35208.989000000	0x05		0x0401		0x00	Rcvd Disconnect Complete
68831	35209.009000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68837	35209.134000000	0x3e	0x0a	0x0401	0c:7e:24:31:3a:f6	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
68858	35209.942000000	0x3e	0x0c	0x0401		0x00	Rcvd LE Meta (LE PHY Update Complete)
68861	35210.034000000	0x3e	0x07	0x0401			Rcvd LE Meta (LE Data Length Change)
68873	35210.403000000	0x3e	0x04	0x0401		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
69417	35216.605000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
69664	35228.542000000	0x3e	0x03	0x0401		0x00	Rcvd LE Meta (LE Connection Update Complete)
70128	35358.660000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
70172	35358.708000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
70207	35360.760000000	0x3e	0x0a	0x0403	f8:79:a1:c6:97:92	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
70209	35360.763000000	0x05		0x0403		0x00	Rcvd Disconnect Complete
70227	35360.784000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
70235	35364.754000000	0x3e	0x0a	0x0403	f8:79:a1:c6:97:92	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
70237	35364.754000000	0x3e	0x07	0x0403			Rcvd LE Meta (LE Data Length Change)
70256	35365.103000000	0x3e	0x0c	0x0403		0x00	Rcvd LE Meta (LE PHY Update Complete)
70259	35365.197000000	0x3e	0x07	0x0403			Rcvd LE Meta (LE Data Length Change)
70271	35365.379000000	0x3e	0x04	0x0403		0x00	Rcvd LE Meta (LE Read Remote Features Complete)
70326	35365.917000000	0x05		0x0403		0x00	Rcvd Disconnect Complete
70480	35448.652000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
71177	35455.935000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
71456	35527.846000000	0x3e	0x0a	0xffff	00:00:00:00:00:00	0x02	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
71468	35528.365000000	0x3e	0x0a	0x0403	d9:4a:d2:65:03:be	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
71481	35528.426000000	0x3e	0x07	0x0403			Rcvd LE Meta (LE Data Length Change)
71491	35528.845000000	0x3e	0x0c	0x0403		0x00	Rcvd LE Meta (LE PHY Update Complete)
71494	35528.937000000	0x3e	0x07	0x0403			Rcvd LE Meta (LE Data Length Change)
71500	35529.087000000	0x3e	0x0a	0x0404	c4:bd:6b:7c:65:3a	0x00	Rcvd LE Meta (LE Enhanced Connection Complete [v1])
